name_speaker,datetime,topic,text
PRESIDENTE,11/07/2006,Presidenza del presidente MARINI,La seduta è aperta
PRESIDENTE,11/07/2006,Presidenza del presidente MARINI,Si dia lettura del processo verbale.
PRESIDENTE,11/07/2006,Presidenza del presidente MARINI,"Non essendovi osservazioni, il processo verbale è approvato."
PRESIDENTE,11/07/2006,Comunicazioni della Presidenza,"L'elenco dei senatori in congedo e assenti per incarico ricevuto dal Senato, nonché ulteriori comunicazioni all'Assemblea saranno pubblicati nell'allegato B al Resoconto della seduta odierna."
PRESIDENTE,11/07/2006,Preannunzio di votazioni mediante procedimento elettronico,Avverto che nel corso della seduta odierna potranno essere effettuate votazioni qualificate mediante il procedimento elettronico.
PRESIDENTE,11/07/2006,Preannunzio di votazioni mediante procedimento elettronico,"Pertanto decorre da questo momento il termine di venti minuti dal preavviso previsto dall'articolo 119, comma 1, del Regolamento"
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Onorevoli colleghi, la Conferenza dei Capigruppo, che si è riunita questa mattina, ha approvato a maggioranza il calendario dei lavori dell'Assemblea fino a sabato 29 luglio."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Oggi pomeriggio dobbiamo procedere alla deliberazione per la costituzione in giudizio del Senato in un conflitto di attribuzione di fronte alla Corte costituzionale, nonché alle votazioni sulle richieste di procedura abbreviata, ai sensi dell'articolo 81 del Regolamento, per i disegni di legge relativi all'istituzione di una Commissione governativa di indagine sulla condizione degli anziani e sull'istituzione del luogo elettivo di nascita."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"A partire da domani mattina saranno posti all'ordine del giorno i decreti-legge, già approvati dalla Camera dei deputati, in materia di IRAP e di pubblica istruzione, per i quali si è proceduto alla ripartizione dei tempi tra i Gruppi. Come già comunicato per le vie brevi, gli emendamenti a questi due provvedimenti dovranno essere presentati entro le ore 19 di oggi."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Nella seduta antimeridiana di giovedì 13 luglio saranno votate a scrutinio segreto con il sistema elettronico le dimissioni presentate dai senatori Turco, Pinza, Danieli, Magnolfi, Bubbico, Giaretta, Vernetti, Maritati, Formigoni e Galan."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Proseguo ora nell'illustrazione del calendario approvato a maggioranza, con il quale si propone di decidere i nostri lavori fino alla conclusione del periodo preferiale, ma con una precisazione che farò alla fine."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"La prossima settimana, dal 18 al 20 luglio, dopo l'eventuale seguito dei due decreti‑legge in materia di IRAP e pubblica istruzione, si passerà all'esame dei disegni di legge, approvati dalla Camera dei deputati, per la ricostituzione di Commissioni d'inchiesta sul fenomeno della mafia e sul ciclo dei rifiuti, nonché della proposta per la ricostituzione della Commissione monocamerale di inchiesta sul Servizio sanitario nazionale."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Nella seduta pomeridiana di mercoledì 19 luglio è previsto un dibattito su comunicazioni del Governo in relazione all'esame da parte del Consiglio dell'Unione europea, che si riunirà a Bruxelles il 24 luglio, del VII Programma quadro di attività comunitarie di ricerca e sviluppo tecnologico. I tempi di discussione sono stati ripartiti per complessive 4 ore e 30 minuti."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Nella seduta antimeridiana di giovedì 20 luglio sarà discussa la mozione con procedimento abbreviato, di iniziativa dei senatori De Petris ed altri, concernente nuove pratiche enologiche. Per tale dibattito i tempi sono stati ripartiti per complessive 3 ore e 40 minuti. Nella stessa seduta, saranno poste ai voti le dimissioni presentate dal senatore Malabarba."
PRESIDENTE,11/07/2006,Sui lavori del Senato,Sono previste due sedute pomeridiane dedicate al sindacato ispettivo: giovedì 13 e giovedì 20 luglio.
PRESIDENTE,11/07/2006,Sui lavori del Senato,"In relazione all'andamento dei lavori, le sedute dell'Assemblea potranno essere sconvocate per consentire alle Commissioni permanenti - ed in particolare alla Commissione bilancio - di esaminare i provvedimenti di propria competenza con tempi adeguati."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Nell'ultima settimana di luglio, dalle ore 15 di lunedì 24 fino alla giornata di sabato 29, saranno discussi innanzitutto il decreto-legge per il rilancio economico e sociale (il cosiddetto decreto Bersani) e il Documento di programmazione economico-finanziaria, i cui tempi sono stati ripartiti rispettivamente per 16 e 12 ore. Preciso che, su sollecitazione di alcuni Capigruppo dell'opposizione con i quali mi sono incontrato stamattina, ho provveduto ad ampliare i tempi del dibattito in Aula su questi due provvedimenti, compatibilmente con i lavori della Camera dei deputati."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Il calendario prevede inoltre l'esame del provvedimento di proroga di missioni internazionali e del disegno di legge sulla partecipazione in società operanti nei settori dell'energia e del gas (ove approvati e trasmessi in tempo utile dalla Camera dei deputati), del disegno di legge per la sospensione dell'efficacia di disposizioni dell'ordinamento giudiziario, nonché del bilancio interno e del rendiconto del Senato. Potranno infine essere istituite Commissioni di inchiesta e speciali."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Se i lavori della nostra Assemblea, in coordinamento con i lavori della Camera dei deputati, dovessero protrarsi oltre la fine del mese di luglio (nei prossimi giorni saremo in grado di comunicarlo all'Aula), in quel caso il cosiddetto provvedimento Mastella potrebbe essere messo in discussione nella prima settimana di agosto, cioè nell'ultima settimana utile prima della pausa estiva."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Il calendario potrà essere integrato con la votazione per l'elezione della delegazione parlamentare presso l'Assemblea del Consiglio d'Europa-UEO - non appena i Gruppi abbiano completato, e ovviamente li sollecito in tal senso, le comunicazioni delle proprie designazioni - con l'esame di documenti definiti dalla Giunta delle elezioni e delle immunità parlamentari, nonché con l'esame del disegno di legge in materia di amnistia e indulto (ove approvato e trasmesso in tempo utile dalla Camera dei deputati)."
PRESIDENTE,11/07/2006,Sui lavori del Senato,"Infine, in relazione all'andamento dei lavori, la Conferenza dei Capigruppo potrà successivamente stabilire l'eventuale calendario della prima settimana di agosto, che per ora non è previsto nella proposta che pongo all'attenzione e alla decisione dell'Assemblea."
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni","La Conferenza dei Presidenti dei Gruppi parlamentari, riunitasi questa mattina con la presenza dei Vice presidenti del Senato e con l'intervento del rappresentante del Governo, ha adottato - ai sensi dell'articolo 53 del Regolamento - la seguente integrazione al programma dei lavori del Senato per i mesi di giugno e luglio 2006:"
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni",- Disegno di legge n. 546 - Istituzione di una Commissione d'indagine sulla condizione degli anziani in Italia
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni",- Disegni di legge nn. 579 e 684 - Norme sull'istituzione del luogo elettivo di nascita
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni",- Disegno di legge n. 762 - Istituzione di una Commissione parlamentare di inchiesta sul fenomeno della criminalità organizzata mafiosa o similare
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni",- Disegno di legge n. 768 - Istituzione di una Commissione parlamentare di inchiesta sul ciclo dei rifiuti e sulle attività illecite ad esso connesse
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni","-  XXII, nn. 1 e 5 - Proposta di inchiesta parlamentare sull'Istituzione di una Commissione parlamentare di inchiesta sull'efficacia e l'efficienza del Servizio sanitario nazionale"
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni",- Disegni di legge nn. … - Proroga missioni internazionali di pace
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni",- Disegno di legge n. … - Abrogazione delle norme in materia di partecipazioni in società operanti nel settore dell'energia elettrica e del gas naturale
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni",- Disegno di legge n. 635 - Sospensione dell'efficacia di disposizioni in tema di ordinamento giudiziario
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni",- Disegni di legge nn. … - Concessione di amnistia e di indulto
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni","- Disegni di legge nn. 353, 354, 519 e 588 - Istituzione di una Commissione parlamentare di inchiesta sulla situazione dello sport del calcio in Italia e  XXII, n. 8 - Istituzione di una Commissione parlamentare di inchiesta sul calcio professionistico e sulle attività economico-sociali ad esso connesse"
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni","- . XXII, n. 7 - Proposta di inchiesta parlamentare sull'istituzione di una Commissione parlamentare d'inchiesta sugli infortuni sul lavoro con particolare riguardo alle cosiddette ""morti bianche"""
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni","-  XXII, n. 3 - Proposta di inchiesta parlamentare sull'Istituzione di una Commissione parlamentare di inchiesta sui casi di morte e gravi malattie che hanno colpito il personale italiano impiegato nelle missioni militari all'estero, nei poligoni di tiro e nei siti in cui vengono stoccati munizionamenti, nonché le popolazioni civili nei teatri di conflitto e nelle zone adiacenti le basi militari sul territorio nazionale, con particolare attenzione agli effetti dell'utilizzo di proiettili all'uranio impoverito e della dispersione nell'ambiente di nanoparticelle di minerali pesanti prodotte dalle esplosioni di materiale bellico"
PRESIDENTE,11/07/2006,"Programma dei lavori dell'Assemblea, integrazioni",- Disegno di legge n. … - Istituzione di una Commissione parlamentare di inchiesta sugli effetti dell'amianto.
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,"Nel corso della stessa riunione, la Conferenza dei Presidenti dei Gruppi parlamentari ha altresì adottato - ai sensi dell'articolo 55 del Regolamento - il nuovo calendario dei lavori fino al 29 luglio 2006:"
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,"Ove non fosse possibile definire tutte le votazioni sulle dimissioni di Senatori, il Presidente è autorizzato a prevedere il prosieguo delle votazioni stesse in altra seduta."
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,"Gli emendamenti ai disegni di legge nn. 700 (Decreto-legge n. 206, in materia di IRAP e canoni demaniali marittimi) e 749 (Decreto-legge n. 210, in materia di pubblica istruzione) dovranno essere presentati entro le ore 19 di martedì 11 luglio."
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,"Gli emendamenti ai disegni di legge nn. 762 (Inchiesta antimafia), 768 (Inchiesta rifiuti) e ai . XXII, nn. 1 e 5 (Inchiesta Servizio sanitario) dovranno essere presentati entro le ore 19 di giovedì 13 luglio."
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,"Gli emendamenti al disegno di legge n. 741 (Decreto-legge n. 223, rilancio economico e sociale) dovranno essere presentati entro le ore 19 di giovedì 20 luglio."
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,"In relazione all'andamento dei lavori, le sedute dell'Assemblea potranno essere sconvocate per consentire alle Commissioni permanenti - e in particolare alla Commissione bilancio - di esaminare i provvedimenti di propria competenza."
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,Gli emendamenti al disegno di legge n. 635 (Sospensione efficacia disposizioni ordinamento giudiziario) dovranno essere presentati entro le ore 19 di lunedì 24 luglio.
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,"Il Presidente è autorizzato a inserire in calendario la votazione per l'elezione della delegazione parlamentare presso l'Assemblea del Consiglio d'Europa-UEO, non appena i Gruppi abbiano comunicato le proprie designazioni."
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,Il calendario potrà essere integrato con l'esame di documenti definiti dalla Giunta delle elezioni e delle immunità parlamentari.
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,"Il calendario potrà inoltre essere integrato con l'esame del disegno di legge in materia di amnistia e indulto, ove approvato e trasmesso in tempo utile dalla Camera dei deputati."
PRESIDENTE,11/07/2006,Calendario dei lavori dell'Assemblea Discussione e reiezione di proposte di modifica,In relazione all'andamento dei lavori la Conferenza dei Capigruppo potrà successivamente stabilire l'eventuale calendario della prima settimana di agosto.
PASTORE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,Domando di parlare.
PRESIDENTE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,Ne ha facoltà.
PASTORE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Signor Presidente, vorrei avanzare una diversa proposta di calendario, con riferimento in particolare al disegno di legge n. 635, che lei ha battezzato ""disegno di legge Mastella"", se non sbaglio. Propongo che quel provvedimento venga cancellato dal calendario che lei ha letto e quindi rinviato a settembre, per una serie di ragioni che vorrei esporre."
PASTORE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"In Commissione affari costituzionali non abbiamo ancora discusso della costituzionalità del provvedimento, ma ritengo che, al di là del merito delle questioni che esso solleva in riferimento all'entrata in vigore del nuovo ordinamento giudiziario, vi sia una questione di fondo. La riforma dell'ordinamento giudiziario non interviene in una materia di generica rilevanza costituzionale, ma di forte rilevanza costituzionale, tant'è che il legislatore costituente, nel 1947, introdusse una disposizione transitoria che in qualche modo manteneva in vita il vecchio ordinamento giudiziario, prevedendo un termine, naturalmente ritenuto ordinatorio e non perentorio, per l'entrata in vigore del nuovo ordinamento giudiziario."
PASTORE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Oggi, Presidente, dopo sessant'anni, abbiamo una riforma dell'ordinamento giudiziario fatta, naturalmente, nel rispetto dei principi costituzionali, come abbiamo potuto constatare anche dall' legislativo della legge di delega, ma con questo disegno di legge fermiamo tale processo, già in ritardo di sessant'anni. Ciò quindi pone un problema di validità di un disegno di legge che interrompe un cammino che la Costituzione richiede; naturalmente, la maggioranza attuale è libera di modificare l'ordinamento giudiziario, di stravolgerlo, di integrarlo, di sopprimere norme e articoli, ma, secondo me, il cammino intrapreso non può essere interrotto."
PASTORE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Vi è di più e di peggio, perché un pezzo di quell'ordinamento giudiziario è già in vigore e la vigenza di quel pezzo non trascurabile dell'ordinamento giudiziario verrebbe fermata. Si fermerebbe l'orologio della riforma e, addirittura, lo si riporterebbe indietro."
PASTORE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Credo che questa scelta legislativa, oltre che assolutamente incongrua nel nostro ordinamento giuridico, sia ancor più contraddittoria in un contesto costituzionale che fa dell'ordinamento giudiziario una delle colonne portanti dell'ordinamento costituzionale stesso."
PASTORE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Per questo motivo, Presidente, credo sia opportuna un'approfondita riflessione su questo punto. Non so se sarà possibile farla in questo periodo, quindi propongo che il disegno di legge venga stralciato dal calendario e che la sua discuessione riprenda eventualmente a settembre."
MATTEOLI,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,Domando di parlare.
PRESIDENTE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,Ne ha facoltà.
MATTEOLI,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Signor Presidente, lei ha presentato un calendario relativo ai pochi giorni che rimangono prima delle vacanze estive e ha cercato di trovare delle soluzioni sulle quali noi questa mattina - lei ha avuto la cortesia di ricordarlo - non abbiamo concordato, tant'è vero che ha precisato che il calendario è stato approvato a maggioranza."
MATTEOLI,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Nell'elenco degli argomenti che ha letto, e che vuole portare all'attenzione dell'Aula prima della chiusura dei lavori, non sono stati inseriti i pochi temi che, come Presidente del Gruppo di Alleanza Nazionale, mi ero permesso di sollecitare. Sul primo di questi, relativo all'istituzione di una Commissione di inchiesta sulle morti bianche e di una sugli effetti dell'amianto, credevo che vi fosse accordo anche da parte dei colleghi della maggioranza e sicuramente del Presidente dei DS, ma lei non l'ha inserito tra i lavori dell'Aula."
PRESIDENTE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Intervengo solo per un chiarimento. Nella comunicazione ho parlato di istituzione di Commissioni d'inchiesta e speciali, che potremo elencare anche nel corso del dibattito. La menzione di questo problema c'è, non avevamo nessuna contrarietà al riguardo."
MATTEOLI,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Ho sottolineato questo punto perché resti all'attenzione dell'Aula. Ma il problema vero del calendario che lei ci ha comunicato quest'oggi è quello relativo alle sedute che vanno da lunedì 24 a sabato 29 luglio. Non è possibile comprimere in una settimana argomenti che hanno una così grande rilevanza: il decreto Bersani, la proroga delle missioni internazionali, il DPEF, la partecipazione in società operanti nel settore dell'energia e del gas."
MATTEOLI,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Questa mattina abbiamo chiesto con insistenza, e ci permettiamo di farlo anche in quest'occasione, che al cosiddetto decreto Bersani l'Aula dedichi almeno tre giorni di dibattito. Non è possibile presentare un decreto di 43 articoli che stravolge una serie di normative e in alcuni casi le cambia completamente, che inserisce elementi nuovi in economia, nel settore dei trasporti e delle assicurazioni, e poi non avere in Aula la possibilità di discuterlo almeno per tre giorni interi. Lei comprime il dibattito in una giornata, perché se lunedì si inizia nel pomeriggio e martedì si vuole arrivare al voto, abbiamo un solo giorno per poterlo discutere."
MATTEOLI,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Lo stesso discorso vale per il DPEF che merita, così com'è stato presentato, alcuni approfondimenti da parte dell'opposizione. In questo modo non ci viene data alcuna possibilità di contribuire alla stesura definitiva di questo documento. Non è secondario il fatto che lei inserisca anche l'esame del disegno di legge sulla partecipazione in società operanti nei settori dell'energia e del gas. Quest'ultimo non è un provvedimento di poco conto poiché interessa tutti gli italiani. Più volte ci siamo permessi di dire che, almeno per quanto riguarda l'energia, dovremmo trovare il modo di aprire un tavolo e discutere tutti insieme, maggioranza e opposizione."
MATTEOLI,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Concordo poi con quanto detto dal senatore Pastore circa il disegno di legge n. 635 concernente la sospensione dell'efficacia di disposizioni in tema di ordinamento giudiziario, il cui esame lei, Presidente, prevede di inserire nella prima settimana di agosto, qualora ve ne siano i presupposti, ma che comunque - a mio avviso - può essere rimandato tranquillamente alla ripresa dei lavori a settembre."
MATTEOLI,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Per tali motivi non possiamo votare questo calendario; voteremo contro, a meno che lei non voglia rivedere, soprattutto per quanto concerne il cosiddetto decreto Bersani, la possibilità di aprire qui, in quest'Aula, un dibattito di almeno tre giorni che consenta anche ai Gruppi di opposizione di portare un contributo alla stesura del provvedimento stesso."
QUAGLIARIELLO,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,Domando di parlare.
PRESIDENTE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,Ne ha facoltà.
QUAGLIARIELLO,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Signor Presidente, nel calendario dei lavori non è compresa la discussione e la possibile votazione della mozione relativa al ritiro della firma dell'Italia dalla cosiddetta Dichiarazione etica, presentata dal senatore Mantovano e dal sottoscritto. Se lei ricorda, Presidente, quella mozione fu presentata, ai termini del Regolamento, con procedura d'urgenza."
QUAGLIARIELLO,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"In quest'Aula fu riconosciuta la necessità di una discussione della mozione ma, individuandone il valore politico a prescindere dal riferimento alle scadenze contingenti del Parlamento europeo, fu detto che sarebbe stato meglio discuterla, ed eventualmente pronunciarsi su di essa, dopo l'audizione in Commissione dei ministri Mussi e Turco. Queste furono alcune indicazioni che giunsero dai banchi della maggioranza. Quelle audizioni si sono tenute e, per quanto anche le scadenze contingenti del Parlamento europeo si siano compiute, il valore politico di una discussione, e nel caso di una votazione, di quella mozione e di altre, non mi sembra venuto meno."
QUAGLIARIELLO,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Per questo, Presidente, solleciterei la possibilità di un inserimento della discussione di quella mozione - della quale, le ricordo, fu messo ai voti l'inserimento in calendario che fu bocciato solamente per otto voti - nella giornata del 24 luglio, giorno nel quale è già convocata l'Assemblea, dalle ore 15 alle ore 22. Eventualmente, questo potrà comportare lo slittamento al giorno immediatamente successivo di alcuni argomenti già inseriti nell'ordine del giorno di quella seduta."
PRESIDENTE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Senatore Quagliariello, c'è un solo punto che vorrei sottolineare in aggiunta a quanto detto in presentazione del calendario: c'è una richiesta specifica, e a mio avviso giustificata, di discutere di questo problema prima del 24 luglio, in quanto da quel giorno, con l'accettazione da parte del Consiglio, decorre l'operatività della scelta dell'ordine del giorno approvato dal Parlamento europeo. Quindi, ho accettato questa richiesta di colleghi anche del suo schieramento affinché prima del giorno 24 questa discussione si svolga e si concluda."
PRESIDENTE,11/07/2006,Ripartizione dei tempi per la discussione del DPEF,"Se qualche possibile riflesso si deve avere anche nel momento della operatività, mi sembra giustificato anticipare un po' la data rispetto al 24 luglio. Dal momento che vogliamo ascoltare la posizione del Governo su questo punto, questa è stata la ragione dell'anticipo della discussione prima del 24 luglio."
